จังหวัด,รัฐ/เอกชน,โรงพยาบาล,latitude,longitude,google_maps_url
แม่ฮ่องสอน,รัฐ,โรงพยาบาลศรีสังวาลย์ (สธ),19.2997442,97.9718655,"https://www.google.com/maps/search/?api=1&query=19.2997442,97.97186549999999&query_place_id=ChIJEzCsIgim2jAR087lGaD9Tiw"
ยโสธร,รัฐ,โรงพยาบาลยโสธร (สธ),15.7812822,104.1615272,"https://www.google.com/maps/search/?api=1&query=15.7812822,104.1615272&query_place_id=ChIJW89IEDPJFzERpjtamFsS55A"
ยะลา,รัฐ,โรงพยาบาลเบตง (สธ),5.773554,101.0821969,"https://www.google.com/maps/search/?api=1&query=5.773554,101.0821969&query_place_id=ChIJkQQpB-bltDERacnnPU9XQgs"
ยะลา,รัฐ,โรงพยาบาลยะลา (สธ),6.5476549,101.2765045,"https://www.google.com/maps/search/?api=1&query=6.5476549,101.2765045&query_place_id=ChIJT_ynPT10szER5_EJuwgVtsM"
ร้อยเอ็ด,รัฐ,โรงพยาบาลร้อยเอ็ด (สธ),16.0476019,103.6524306,"https://www.google.com/maps/search/?api=1&query=16.0476019,103.6524306&query_place_id=ChIJi72kxC38FzERarYcVdC3M_E"
ระนอง,รัฐ,โรงพยาบาลระนอง (สธ),9.9635959,98.6429187,"https://www.google.com/maps/search/?api=1&query=9.9635959,98.6429187&query_place_id=ChIJLybwsB5QVjAR_q-tP7Y7Bhk"
ระยอง,รัฐ,โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ (สธ),12.7305694,101.1364029,"https://www.google.com/maps/search/?api=1&query=12.7305694,101.1364029&query_place_id=ChIJDU-3hT_wAjERxKvxQbD8m90"
ระยอง,รัฐ,โรงพยาบาลระยอง (สธ),12.6821032,101.2764781,"https://www.google.com/maps/search/?api=1&query=12.6821032,101.2764781&query_place_id=ChIJPVcI_mn8AjERhRVqJDoIRyQ"
ระยอง,เอกชน,โรงพยาบาลกรุงเทพปลวกแดง,12.9785617,101.1967419,"https://www.google.com/maps/search/?api=1&query=12.9785617,101.1967419&query_place_id=ChIJK-JHTiLdAjERhSJGClRoXM4"
ระยอง,เอกชน,โรงพยาบาลปิยะเวชช์ ระยอง,12.9887275,101.1365593,"https://www.google.com/maps/search/?api=1&query=12.9887275,101.1365593&query_place_id=ChIJ0-zEUxjDAjERu6qFVOlQLX0"
ระยอง,เอกชน,โรงพยาบาลจุฬารัตน์ระยอง,12.6852329,101.2745722,"https://www.google.com/maps/search/?api=1&query=12.6852329,101.2745722&query_place_id=ChIJ8e0__2n8AjER8VB49wK_uRg"
ระยอง,เอกชน,โรงพยาบาลมงกุฎระยอง,12.7331929,101.1577706,"https://www.google.com/maps/search/?api=1&query=12.7331929,101.1577706&query_place_id=ChIJJ5xougvwAjER82hn3WxUP68"
ราชบุรี,รัฐ,โรงพยาบาลบ้านโป่ง (สธ),13.8172519,99.8709553,"https://www.google.com/maps/search/?api=1&query=13.8172519,99.87095529999999&query_place_id=ChIJV5tAAtsd4zAROgFb5tGbNJs"
ราชบุรี,รัฐ,โรงพยาบาลดำเนินสะดวก (สธ),13.5365157,99.965853,"https://www.google.com/maps/search/?api=1&query=13.5365157,99.965853&query_place_id=ChIJ3zkiOdzZ4jARj5yX-kHNpHw"
ราชบุรี,รัฐ,โรงพยาบาลโพธาราม (สธ),13.6946009,99.8516861,"https://www.google.com/maps/search/?api=1&query=13.6946009,99.8516861&query_place_id=ChIJG4ZgAsoh4zARDBywclQxJYg"
ราชบุรี,รัฐ,โรงพยาบาลราชบุรี (สธ),13.5309561,99.8155114,"https://www.google.com/maps/search/?api=1&query=13.5309561,99.81551139999999&query_place_id=ChIJmf0sdKso4zARu-m0732P8ZA"
ราชบุรี,เอกชน,โรงพยาบาลซานคามิลโล,13.810396,99.8793049,"https://www.google.com/maps/search/?api=1&query=13.810396,99.8793049&query_place_id=ChIJqZaT-8Yd4zAR81UP89HGjUs"
ลพบุรี,รัฐ,โรงพยาบาลบ้านหมี่ (สธ),15.0441789,100.5419625,"https://www.google.com/maps/search/?api=1&query=15.0441789,100.5419625&query_place_id=ChIJoaMEr-zj4TARmWntZsFk98A"
ลพบุรี,รัฐ,โรงพยาบาลพระนารายณ์มหาราช (สธ),14.8049099,100.6525809,"https://www.google.com/maps/search/?api=1&query=14.8049099,100.6525809&query_place_id=ChIJfa9OmmMAHjERYcMVTD6g8XE"
ลพบุรี,รัฐ,โรงพยาบาลอานันทมหิดล,14.8491606,100.6651011,"https://www.google.com/maps/search/?api=1&query=14.8491606,100.6651011&query_place_id=ChIJ8TybwKABHjER1iufPNVFZjo"
ลำปาง,รัฐ,โรงพยาบาลค่ายสุรศักดิ์มนตรี (กห),18.2948244,99.5191083,"https://www.google.com/maps/search/?api=1&query=18.2948244,99.5191083&query_place_id=ChIJMTvvyJls2TARNZMvMXQLeUI"
ลำปาง,รัฐ,โรงพยาบาลลำปาง (สธ),18.2869216,99.5059798,"https://www.google.com/maps/search/?api=1&query=18.2869216,99.50597979999999&query_place_id=ChIJ8S4GAH5r2TARcj4b6LRQFvw"
ลำพูน,รัฐ,โรงพยาบาลลำพูน (สธ),18.5827899,98.9950659,"https://www.google.com/maps/search/?api=1&query=18.5827899,98.9950659&query_place_id=ChIJnUfy3EjN2zARgGlckoLI-YI"
ลำพูน,เอกชน,โรงพยาบาลพริ้นซ์ ลำพูน,18.5630387,99.0359934,"https://www.google.com/maps/search/?api=1&query=18.5630387,99.0359934&query_place_id=ChIJBS1SA3fT2zAR0Tdk-Aew1jo"
ลำพูน,เอกชน,โรงพยาบาลลำพูนใกล้หมอ,18.5962646,99.0422449,"https://www.google.com/maps/search/?api=1&query=18.5962646,99.0422449&query_place_id=ChIJw2czfY8t2jARVl82XuX9a-M"
ลำพูน,เอกชน,โรงพยาบาลหริภุญชัย เมโมเรียล,18.573606,99.004915,"https://www.google.com/maps/search/?api=1&query=18.573606,99.004915&query_place_id=ChIJCbqFfFzN2zARSKmRxxTOxX0"
เลย,รัฐ,โรงพยาบาลเลย (สธ),17.487661,101.7226133,"https://www.google.com/maps/search/?api=1&query=17.487661,101.7226133&query_place_id=ChIJZQMI8exHITERyrSRcAAkmv8"
ศรีสะเกษ,รัฐ,โรงพยาบาลศรีสะเกษ (สธ),15.1161149,104.3201394,"https://www.google.com/maps/search/?api=1&query=15.1161149,104.3201394&query_place_id=ChIJAwDvx3zeFjER0drNd1LFuHE"
สกลนคร,รัฐ,โรงพยาบาลสกลนคร (สธ),17.1633998,104.1582096,"https://www.google.com/maps/search/?api=1&query=17.1633998,104.1582096&query_place_id=ChIJKwo6ni3zPDERolMp5fHD9NU"
สกลนคร,รัฐ,โรงพยาบาลสมเด็จพระยุพราชสว่างแดนดิน (สธ),17.47724,103.4579026,"https://www.google.com/maps/search/?api=1&query=17.47724,103.4579026&query_place_id=ChIJPSfv6ORTIzERdyPRODPDKKk"
สงขลา,รัฐ,โรงพยาบาลสงขลา (สธ),7.1421701,100.5664011,"https://www.google.com/maps/search/?api=1&query=7.1421701,100.5664011&query_place_id=ChIJiZb2toctTTARsEpfC70jAg8"
สงขลา,รัฐ,โรงพยาบาลสงขลานครินทร์,7.006915,100.4944626,"https://www.google.com/maps/search/?api=1&query=7.006915,100.4944626&query_place_id=ChIJUzJZxK8pTTARJz1amTULRJ8"
สงขลา,รัฐ,โรงพยาบาลหาดใหญ่ (สธ),7.0167471,100.4674982,"https://www.google.com/maps/search/?api=1&query=7.0167471,100.4674982&query_place_id=ChIJD1xaM18oTTARpnshgDri22A"
สงขลา,เอกชน,โรงพยาบาล ศิครินทร์ หาดใหญ่,7.022423,100.4697785,"https://www.google.com/maps/search/?api=1&query=7.022423,100.4697785&query_place_id=ChIJV9cC3fYoTTARgZ2yPZAC4C8"
สตูล,รัฐ,โรงพยาบาลสตูล (สธ),6.617899599999999,100.0711185,"https://www.google.com/maps/search/?api=1&query=6.617899599999999,100.0711185&query_place_id=ChIJTyERj2WNTDARTZOuxjYo-Zk"
สมุทรปราการ,รัฐ,โรงพยาบาลบางบ่อ (สธ),13.56966,100.835684,"https://www.google.com/maps/search/?api=1&query=13.56966,100.835684&query_place_id=ChIJV0UEfPVEHTERD_A8MyYTFoA"
สมุทรปราการ,รัฐ,โรงพยาบาลบางพลี (สธ),13.6038432,100.7061069,"https://www.google.com/maps/search/?api=1&query=13.6038432,100.7061069&query_place_id=ChIJzwc4y_hfHTERIasmzL9386k"
สมุทรปราการ,รัฐ,โรงพยาบาลรามาธิบดีจักรีนฤบดินทร์,13.52597,100.7610614,"https://www.google.com/maps/search/?api=1&query=13.52597,100.7610614&query_place_id=ChIJSXYBSZ5fHTER0fu_1yDq-tk"
สมุทรปราการ,รัฐ,โรงพยาบาลสมุทรปราการ (สธ),13.583728,100.5973519,"https://www.google.com/maps/search/?api=1&query=13.583728,100.5973519&query_place_id=ChIJk4HjL0in4jARt3ggjYC0l1Y"
สมุทรปราการ,เอกชน,โรงพยาบาลจุฬารัตน์ 3 อินเตอร์,13.5998401,100.7212443,"https://www.google.com/maps/search/?api=1&query=13.5998401,100.7212443&query_place_id=ChIJU31O1gxcHTERdVOPN69Ch6M"
สมุทรปราการ,เอกชน,โรงพยาบาลจุฬารัตน์ 9 แอร์พอร์ต,13.677462,100.7225039,"https://www.google.com/maps/search/?api=1&query=13.677462,100.7225039&query_place_id=ChIJjR8jRFxnHTERvo3KgpwMGuk"
สมุทรปราการ,เอกชน,โรงพยาบาลเซ็นทรัล ปาร์ค,13.6155781,100.7440668,"https://www.google.com/maps/search/?api=1&query=13.6155781,100.7440668&query_place_id=ChIJVWkDXltcHTERDULAIdnypvo"
สมุทรปราการ,เอกชน,โรงพยาบาลบางนา 2,13.5940439,100.8049758,"https://www.google.com/maps/search/?api=1&query=13.5940439,100.8049758&query_place_id=ChIJ2Q5pLVJDHTERJi3hJmuRfpY"
สมุทรปราการ,เอกชน,โรงพยาบาลบางนา 5,13.6063793,100.6880253,"https://www.google.com/maps/search/?api=1&query=13.6063793,100.6880253&query_place_id=ChIJISAWsLteHTERyby6q3jpPWQ"
สมุทรปราการ,เอกชน,โรงพยาบาลเปาโล สมุทรปราการ,13.5983245,100.6145122,"https://www.google.com/maps/search/?api=1&query=13.5983245,100.6145122&query_place_id=ChIJyxWL7aug4jARr2WWBYgVikw"
สมุทรปราการ,เอกชน,โรงพยาบาลรวมชัยประชารักษ์,13.5836394,100.8541589,"https://www.google.com/maps/search/?api=1&query=13.5836394,100.8541589&query_place_id=ChIJq9fxbIVEHTERL6Wp0gLIYKc"
สมุทรปราการ,เอกชน,โรงพยาบาลศิครินทร์ สมุทรปราการ,13.5316243,100.6310251,"https://www.google.com/maps/search/?api=1&query=13.5316243,100.6310251&query_place_id=ChIJs-v3AW5YHTERPYJJfDCCc5c"
สมุทรปราการ,เอกชน,โรงพยาบาลสำโรงการแพทย์,13.6505089,100.5940993,"https://www.google.com/maps/search/?api=1&query=13.6505089,100.5940993&query_place_id=ChIJsQb64rqh4jARFYcnMNiFTcw"
สมุทรปราการ,เอกชน,โรงพยาบาลบางปะกอก 3,13.6343027,100.528285,"https://www.google.com/maps/search/?api=1&query=13.6343027,100.528285&query_place_id=ChIJhRaPydej4jAR06RCz1H7WKU"
สมุทรปราการ,เอกชน,โรงพยาบาลเปาโล พระประแดง,13.6084608,100.5514274,"https://www.google.com/maps/search/?api=1&query=13.6084608,100.5514274&query_place_id=ChIJw4uk_0eh4jARcWL09TmHLOg"
สมุทรปราการ,เอกชน,โรงพยาบาลเมืองสมุทรปากน้ำ,13.5951855,100.601198,"https://www.google.com/maps/search/?api=1&query=13.5951855,100.601198&query_place_id=ChIJvTJ0yLSg4jAR0EHI6kmKZ-4"
สมุทรปราการ,เอกชน,โรงพยาบาลเมืองสมุทรปู่เจ้าฯ,13.6466956,100.5783807,"https://www.google.com/maps/search/?api=1&query=13.6466956,100.5783807&query_place_id=ChIJBck2Ya-h4jARddRjyeahjKc"
สมุทรสงคราม,รัฐ,โรงพยาบาลสมเด็จพระพุทธเลิศหล้า (สธ),13.4062425,99.9980347,"https://www.google.com/maps/search/?api=1&query=13.4062425,99.9980347&query_place_id=ChIJHx2l7I7T4jARMcsQ6NpsyP8"
สมุทรสาคร,รัฐ,โรงพยาบาลกระทุ่มแบน (สธ),13.654412,100.255064,"https://www.google.com/maps/search/?api=1&query=13.654412,100.255064&query_place_id=ChIJTUk5r4DA4jARNb-ctZdb_Cg"
สมุทรสาคร,รัฐ,โรงพยาบาลบ้านแพ้ว,13.5904296,100.1047494,"https://www.google.com/maps/search/?api=1&query=13.5904296,100.1047494&query_place_id=ChIJP5xwwurE4jARD3eeO9loRVg"
สมุทรสาคร,รัฐ,โรงพยาบาลสมุทรสาคร (สธ),13.5531654,100.2785698,"https://www.google.com/maps/search/?api=1&query=13.5531654,100.2785698&query_place_id=ChIJ3dKtXGa44jARthu-h46HMRk"
สมุทรสาคร,เอกชน,โรงพยาบาลวิชัยเวชฯ สมุทรสาคร,13.5757647,100.2719024,"https://www.google.com/maps/search/?api=1&query=13.5757647,100.2719024&query_place_id=ChIJ23ujw1K54jARTNK34_ybul8"
สมุทรสาคร,เอกชน,โรงพยาบาลวิชัยเวชฯ อ้อมน้อย,13.7106846,100.2915187,"https://www.google.com/maps/search/?api=1&query=13.7106846,100.2915187&query_place_id=ChIJicNJe2WV4jARVCZX_BIvs6k"
สมุทรสาคร,เอกชน,โรงพยาบาลมหาชัย 2,13.7073935,100.3011521,"https://www.google.com/maps/search/?api=1&query=13.7073935,100.3011521&query_place_id=ChIJ33gHEnmV4jAR2a6WO1r2pH4"
สมุทรสาคร,เอกชน,โรงพยาบาลมหาชัย 3,13.5566692,100.2720623,"https://www.google.com/maps/search/?api=1&query=13.5566692,100.2720623&query_place_id=ChIJT8JEpmS44jARYCvdBfGpjIQ"
สมุทรสาคร,เอกชน,โรงพยาบาลวิภาราม สมุทรสาคร,13.5388032,100.229287,"https://www.google.com/maps/search/?api=1&query=13.5388032,100.229287&query_place_id=ChIJpRywqcfH4jAR7Ym_UMtCsbE"
สระแก้ว,รัฐ,โรงพยาบาลสมเด็จพระยุพราชสระแก้ว (สธ),13.8168071,102.0722736,"https://www.google.com/maps/search/?api=1&query=13.8168071,102.0722736&query_place_id=ChIJFSNiqFh9GzERmUvp_xcwjGo"
สระบุรี,รัฐ,โรงพยาบาลพระพุทธบาท (สธ),14.7243162,100.801937,"https://www.google.com/maps/search/?api=1&query=14.7243162,100.801937&query_place_id=ChIJ9whE2yzjHTERCtbwYR6kU4A"
สระบุรี,รัฐ,โรงพยาบาลสระบุรี (สธ),14.5341609,100.9157958,"https://www.google.com/maps/search/?api=1&query=14.5341609,100.9157958&query_place_id=ChIJQd5gruLoHTERVh5nMsVxNR0"
สระบุรี,เอกชน,โรงพยาบาลเกษมราษฎร์ สระบุรี,14.5238673,100.9331322,"https://www.google.com/maps/search/?api=1&query=14.5238673,100.9331322&query_place_id=ChIJO-UPMArpHTERaittA_6Ich0"
สระบุรี,เอกชน,โรงพยาบาลราชธานี หนองแค,14.4094709,100.850132,"https://www.google.com/maps/search/?api=1&query=14.4094709,100.850132&query_place_id=ChIJv8WqPlftHTER2pCNgMa3t3M"
สิงห์บุรี,รัฐ,โรงพยาบาลสิงห์บุรี (สธ),14.8967085,100.3976201,"https://www.google.com/maps/search/?api=1&query=14.8967085,100.3976201&query_place_id=ChIJlQiXtdTw4TAR52WvgzBOeIY"
สิงห์บุรี,รัฐ,โรงพยาบาลอินทร์บุรี (สธ),14.9882313,100.334323,"https://www.google.com/maps/search/?api=1&query=14.9882313,100.334323&query_place_id=ChIJYzzcM_Tt4TARbNNn0Q2ASJs"
สุโขทัย,รัฐ,โรงพยาบาลศรีสังวรสุโขทัย (สธ),17.1662015,99.865098,"https://www.google.com/maps/search/?api=1&query=17.1662015,99.86509799999999&query_place_id=ChIJb9yyLrb93jARQQ6gB3PzviM"
สุโขทัย,รัฐ,โรงพยาบาลสุโขทัย (สธ),17.0108475,99.7960459,"https://www.google.com/maps/search/?api=1&query=17.0108475,99.7960459&query_place_id=ChIJFzwsYmFW3jARx75P7sgGUvA"
สุพรรณบุรี,รัฐ,โรงพยาบาลเจ้าพระยายมราช (สธ),14.4665543,100.1160747,"https://www.google.com/maps/search/?api=1&query=14.4665543,100.1160747&query_place_id=ChIJ_____1s44jAR3Ht1MnRe5ck"
สุพรรณบุรี,รัฐ,โรงพยาบาลสมเด็จพระสังฆราชองค์ที่ 17 (สธ),14.225216,100.0279701,"https://www.google.com/maps/search/?api=1&query=14.225216,100.0279701&query_place_id=ChIJ7_6gVtihERERZvzKBsh_nxY"
สุพรรณบุรี,รัฐ,โรงพยาบาลอู่ทอง (สธ),14.3491649,99.87218980000002,"https://www.google.com/maps/search/?api=1&query=14.3491649,99.87218980000002&query_place_id=ChIJeUljmxuz4zARoqkVYJW0ItI"
สุราษฎร์ธานี,รัฐ,โรงพยาบาลกาญจนดิษฐ์ (สธ),9.1614985,99.4928772,"https://www.google.com/maps/search/?api=1&query=9.1614985,99.4928772&query_place_id=ChIJP1PCTHoMVDARI8qCcnV7L-A"
สุราษฎร์ธานี,รัฐ,โรงพยาบาลเกาะสมุย (สธ),9.5218263,99.935496,"https://www.google.com/maps/search/?api=1&query=9.521826299999999,99.935496&query_place_id=ChIJmWj8zUT2VDARz1OtWX_tDb4"
สุราษฎร์ธานี,รัฐ,โรงพยาบาลสุราษฎร์ธานี (สธ),9.1237537,99.3100007,"https://www.google.com/maps/search/?api=1&query=9.1237537,99.31000069999999&query_place_id=ChIJgUR82fkGVDARNEXrt8Cvs00"
สุราษฎร์ธานี,เอกชน,โรงพยาบาลวัฒนแพทย์ สมุย,9.5120168,100.0135929,"https://www.google.com/maps/search/?api=1&query=9.5120168,100.0135929&query_place_id=ChIJbyZmHFDxVDARMIN9Pb1a1e0"
สุรินทร์,รัฐ,โรงพยาบาลสุรินทร์ (สธ),14.8765646,103.5027463,"https://www.google.com/maps/search/?api=1&query=14.8765646,103.5027463&query_place_id=ChIJ7WQiz0riGTERTLA6hpH6JTY"
หนองคาย,รัฐ,โรงพยาบาลสมเด็จพระยุพราชท่าบ่อ (สธ),17.8476427,102.5766152,"https://www.google.com/maps/search/?api=1&query=17.8476427,102.5766152&query_place_id=ChIJhRcGPctvJDERUttMN6mKl3Q"
หนองคาย,รัฐ,โรงพยาบาลหนองคาย (สธ),17.8815416,102.7415855,"https://www.google.com/maps/search/?api=1&query=17.8815416,102.7415855&query_place_id=ChIJ1ROhqL5jJDERUfddZsRH4EI"
หนองบัวลำภู,รัฐ,โรงพยาบาลหนองบัวลำภู (สธ),17.1988785,102.4573085,"https://www.google.com/maps/search/?api=1&query=17.1988785,102.4573085&query_place_id=ChIJZxT7b0a_IzER3k9Rj4h51Ug"
อ่างทอง,รัฐ,โรงพยาบาลอ่างทอง (สธ),14.584759,100.4521518,"https://www.google.com/maps/search/?api=1&query=14.584759,100.4521518&query_place_id=ChIJY1vg0t0P4jARPw0Zpub6ddQ"
อำนาจเจริญ,รัฐ,โรงพยาบาลอำนาจเจริญ (สธ),15.863905,104.6238505,"https://www.google.com/maps/search/?api=1&query=15.863905,104.6238505&query_place_id=ChIJVaKRMsMiFjERXqt5NJO1_Nk"
อุดรธานี,รัฐ,โรงพยาบาลกุมภวาปี (สธ),17.1046596,103.0210586,"https://www.google.com/maps/search/?api=1&query=17.1046596,103.0210586&query_place_id=ChIJtX76ErMRIzER9oIlsvFLh_o"
อุดรธานี,รัฐ,โรงพยาบาลค่ายประจักษ์ศิลปาคม,17.3699643,102.8118553,"https://www.google.com/maps/search/?api=1&query=17.3699643,102.8118553&query_place_id=ChIJI2CrlBh2IzERveT7Rl1L6BI"
อุดรธานี,รัฐ,โรงพยาบาลสมเด็จพระยุพราชบ้านดุง (สธ),17.6915901,103.2587727,"https://www.google.com/maps/search/?api=1&query=17.6915901,103.2587727&query_place_id=ChIJ1zWPpv2jJDERnzwS7I5wQwY"
อุดรธานี,รัฐ,โรงพยาบาลอุดรธานี (สธ),17.4148709,102.7804229,"https://www.google.com/maps/search/?api=1&query=17.4148709,102.7804229&query_place_id=ChIJtzMTkBSdIzERT6IlV7TVbFw"
อุตรดิตถ์,รัฐ,โรงพยาบาลอุตรดิตถ์ (สธ),17.6191351,100.0869882,"https://www.google.com/maps/search/?api=1&query=17.6191351,100.0869882&query_place_id=ChIJH7dN3xsw3zARkw_fit4NDZ0"
อุทัยธานี,รัฐ,โรงพยาบาลอุทัยธานี (สธ),15.3803419,100.0199671,"https://www.google.com/maps/search/?api=1&query=15.3803419,100.0199671&query_place_id=ChIJ0WBZWm-v4TARWNPGVxbtU8s"
อุบลราชธานี,รัฐ,โรงพยาบาลค่ายสรรพสิทธิประสงค์,15.1937294,104.8750159,"https://www.google.com/maps/search/?api=1&query=15.1937294,104.8750159&query_place_id=ChIJoxCvUHGGFjERbzwXIK5gNhQ"
อุบลราชธานี,รัฐ,โรงพยาบาลวารินชำราบ (สธ),15.1937575,104.8380668,"https://www.google.com/maps/search/?api=1&query=15.1937575,104.8380668&query_place_id=ChIJCQyXRwmGFjERCvxNeAxw8o4"
อุบลราชธานี,รัฐ,โรงพยาบาลสมเด็จพระยุพราชเดชอุดม (สธ),14.9158526,105.0612916,"https://www.google.com/maps/search/?api=1&query=14.9158526,105.0612916&query_place_id=ChIJv-wHpL0hFDERkpzf4QqOEwY"
อุบลราชธานี,รัฐ,โรงพยาบาลสรรพสิทธิประสงค์ (สธ),15.2360899,104.8654529,"https://www.google.com/maps/search/?api=1&query=15.2360899,104.8654529&query_place_id=ChIJu2cRrMuHFjERHCbiuV6CX4c"
